dup1	dup2	type
AEP_HVAEP1.G002420	AEP_HVAEP5.G009544	DD
AEP_HVAEP1.G002395	AEP_HVAEP5.G009544	DD
AEP_HVAEP1.G002399	AEP_HVAEP1.G002420	DD
AEP_HVAEP1.G002395	AEP_HVAEP1.G002420	DD
AEP_HVAEP1.G002398	AEP_HVAEP1.G002420	DD
AEP_HVAEP1.G001311	AEP_HVAEP1.G002420	DD
AEP_HVAEP1.G002398	AEP_HVAEP1.G002399	TD
AEP_HVAEP1.G001311	AEP_HVAEP1.G002399	DD
AEP_HVAEP1.G002395	AEP_HVAEP1.G002399	PD
AEP_HVAEP1.G002395	AEP_HVAEP1.G002398	PD
AEP_HVAEP1.G001311	AEP_HVAEP1.G002398	DD
AEP_HVAEP1.G001315	AEP_HVAEP1.G001319	PD
AEP_HVAEP1.G001314	AEP_HVAEP1.G001319	PD
AEP_HVAEP1.G001312	AEP_HVAEP1.G001319	PD
AEP_HVAEP4.G008103	AEP_HVAEP1.G001319	DD
AEP_HVAEP1.G001312	AEP_HVAEP1.G001314	PD
AEP_HVAEP5.G009926	AEP_HVAEP13.G025252	DD
AEP_HVAEP1.G001312	AEP_HVAEP13.G025252	DD
AEP_HVAEP1.G001319	AEP_HVAEP14.G026398	DD
AEP_HVAEP6.G012083	AEP_HVAEP14.G026398	DD
AEP_HVAEP1.G001312	AEP_HVAEP14.G026398	DD
AEP_HVAEP1.G001315	AEP_HVAEP14.G026398	DD
AEP_HVAEP7.G012792	AEP_HVAEP14.G026398	DD
AEP_HVAEP4.G008103	AEP_HVAEP1.G001316	DD
AEP_HVAEP1.G001321	AEP_HVAEP1.G001316	PD
AEP_HVAEP1.G001313	AEP_HVAEP1.G001316	PD
AEP_HVAEP1.G001316	AEP_HVAEP1.G001320	PD
AEP_HVAEP1.G001313	AEP_HVAEP1.G001320	PD
AEP_HVAEP4.G007393	AEP_HVAEP4.G007382	DD
AEP_HVAEP4.G007381	AEP_HVAEP4.G007382	TD
AEP_HVAEP4.G007376	AEP_HVAEP4.G007382	PD
AEP_HVAEP4.G007386	AEP_HVAEP4.G007382	PD
AEP_HVAEP1.G001313	AEP_HVAEP4.G007382	DD
AEP_HVAEP1.G001320	AEP_HVAEP7.G013256	DD
AEP_HVAEP1.G001313	AEP_HVAEP7.G013256	DD
AEP_HVAEP4.G007386	AEP_HVAEP7.G013256	DD
AEP_HVAEP5.G010167	AEP_HVAEP7.G013256	DD
AEP_HVAEP4.G007685	AEP_HVAEP7.G013256	DD
AEP_HVAEP1.G001316	AEP_HVAEP7.G013256	DD
AEP_HVAEP4.G007376	AEP_HVAEP7.G013256	DD
AEP_HVAEP4.G007382	AEP_HVAEP7.G013256	DD
AEP_HVAEP4.G007670	AEP_HVAEP7.G013256	DD
AEP_HVAEP1.G001314	AEP_HVAEP1.G001315	TD
AEP_HVAEP4.G008106	AEP_HVAEP4.G008104	PD
AEP_HVAEP4.G008101	AEP_HVAEP4.G008104	PD
AEP_HVAEP1.G001314	AEP_HVAEP4.G008104	DD
AEP_HVAEP4.G008098	AEP_HVAEP4.G008104	PD
AEP_HVAEP4.G008077	AEP_HVAEP4.G008104	DD
AEP_HVAEP1.G001315	AEP_HVAEP4.G008104	DD
AEP_HVAEP4.G008090	AEP_HVAEP4.G008104	DD
AEP_HVAEP4.G008110	AEP_HVAEP4.G008104	PD
AEP_HVAEP4.G007393	AEP_HVAEP4.G007376	DD
AEP_HVAEP1.G001316	AEP_HVAEP4.G007376	DD
AEP_HVAEP10.G018748	AEP_HVAEP15.G027787	DD
AEP_HVAEP15.G027840	AEP_HVAEP15.G027787	DD
AEP_HVAEP8.G014422	AEP_HVAEP15.G027787	DD
AEP_HVAEP10.G018542	AEP_HVAEP15.G027787	DD
AEP_HVAEP11.G020236	AEP_HVAEP15.G027787	DD
AEP_HVAEP10.G018244	AEP_HVAEP15.G027787	DD
AEP_HVAEP4.G007816	AEP_HVAEP15.G027787	DD
AEP_HVAEP13.G025696	AEP_HVAEP15.G027787	DD
AEP_HVAEP1.G001318	AEP_HVAEP15.G027787	DD
AEP_HVAEP2.G003326	AEP_HVAEP15.G027787	DD
AEP_HVAEP4.G007816	AEP_HVAEP10.G018542	DD
AEP_HVAEP1.G001460	AEP_HVAEP10.G018542	DD
AEP_HVAEP1.G001318	AEP_HVAEP10.G018542	DD
AEP_HVAEP1.G001460	AEP_HVAEP4.G007816	DD
AEP_HVAEP11.G020236	AEP_HVAEP4.G007816	DD
AEP_HVAEP1.G001318	AEP_HVAEP4.G007816	DD
AEP_HVAEP1.G001318	AEP_HVAEP4.G008718	DD
AEP_HVAEP4.G008452	AEP_HVAEP4.G008718	DD
AEP_HVAEP4.G007816	AEP_HVAEP4.G008718	DD
AEP_HVAEP10.G018542	AEP_HVAEP4.G008718	DD
AEP_HVAEP15.G027787	AEP_HVAEP4.G008718	DD
AEP_HVAEP4.G007391	AEP_HVAEP4.G007381	PD
AEP_HVAEP4.G007368	AEP_HVAEP4.G007381	DD
AEP_HVAEP4.G007386	AEP_HVAEP4.G007381	PD
AEP_HVAEP1.G001320	AEP_HVAEP4.G007381	DD
AEP_HVAEP1.G001321	AEP_HVAEP1.G001313	PD
AEP_HVAEP4.G008103	AEP_HVAEP1.G001313	DD
AEP_HVAEP1.G001322	AEP_HVAEP6.G011442	DD
AEP_HVAEP12.G023121	AEP_HVAEP13.G025792	DD
AEP_HVAEP3.G005924	AEP_HVAEP13.G025792	DD
AEP_HVAEP9.G016529	AEP_HVAEP13.G025792	DD
AEP_HVAEP1.G001322	AEP_HVAEP13.G025792	DD
AEP_HVAEP6.G011442	AEP_HVAEP13.G025792	DD
AEP_HVAEP7.G012390	AEP_HVAEP13.G025792	DD
AEP_HVAEP8.G015046	AEP_HVAEP12.G023121	DD
AEP_HVAEP1.G001322	AEP_HVAEP12.G023121	DD
AEP_HVAEP6.G011442	AEP_HVAEP12.G023121	DD
AEP_HVAEP9.G016529	AEP_HVAEP12.G023121	DD
AEP_HVAEP7.G012390	AEP_HVAEP12.G023121	DD
AEP_HVAEP14.G026010	AEP_HVAEP12.G023121	DD
AEP_HVAEP3.G005924	AEP_HVAEP12.G023121	DD
AEP_HVAEP1.G001323	AEP_HVAEP12.G023069	DD
AEP_HVAEP7.G012609	AEP_HVAEP6.G010868	DD
AEP_HVAEP7.G012661	AEP_HVAEP6.G010868	DD
AEP_HVAEP1.G001324	AEP_HVAEP6.G010868	DD
AEP_HVAEP4.G007690	AEP_HVAEP6.G010868	DD
AEP_HVAEP6.G011824	AEP_HVAEP5.G009578	DD
AEP_HVAEP2.G003270	AEP_HVAEP5.G009578	DD
AEP_HVAEP1.G001324	AEP_HVAEP5.G009578	DD
AEP_HVAEP3.G005414	AEP_HVAEP5.G009578	DD
AEP_HVAEP9.G015822	AEP_HVAEP5.G009578	DD
AEP_HVAEP5.G009280	AEP_HVAEP5.G009578	DD
AEP_HVAEP2.G003836	AEP_HVAEP5.G009578	DD
AEP_HVAEP6.G010868	AEP_HVAEP5.G009578	DD
AEP_HVAEP7.G012609	AEP_HVAEP5.G009578	DD
AEP_HVAEP11.G021187	AEP_HVAEP5.G009578	DD
AEP_HVAEP5.G010353	AEP_HVAEP5.G009578	DD
AEP_HVAEP4.G007690	AEP_HVAEP5.G009578	DD
AEP_HVAEP3.G007305	AEP_HVAEP5.G009578	DD
AEP_HVAEP1.G002602	AEP_HVAEP5.G009578	DD
AEP_HVAEP6.G011824	AEP_HVAEP14.G026051	DD
AEP_HVAEP5.G010353	AEP_HVAEP14.G026051	DD
AEP_HVAEP6.G010868	AEP_HVAEP14.G026051	DD
AEP_HVAEP2.G003270	AEP_HVAEP14.G026051	DD
AEP_HVAEP5.G009280	AEP_HVAEP14.G026051	DD
AEP_HVAEP7.G012661	AEP_HVAEP14.G026051	DD
AEP_HVAEP11.G019947	AEP_HVAEP14.G026051	DD
AEP_HVAEP2.G003523	AEP_HVAEP14.G026051	DD
AEP_HVAEP7.G012609	AEP_HVAEP14.G026051	DD
AEP_HVAEP3.G007071	AEP_HVAEP14.G026051	DD
AEP_HVAEP4.G007690	AEP_HVAEP14.G026051	DD
AEP_HVAEP1.G002602	AEP_HVAEP14.G026051	DD
AEP_HVAEP2.G003836	AEP_HVAEP14.G026051	DD
AEP_HVAEP11.G021187	AEP_HVAEP14.G026051	DD
AEP_HVAEP9.G015822	AEP_HVAEP14.G026051	DD
AEP_HVAEP3.G007305	AEP_HVAEP14.G026051	DD
AEP_HVAEP1.G001324	AEP_HVAEP14.G026051	DD
AEP_HVAEP5.G009578	AEP_HVAEP14.G026051	DD
AEP_HVAEP1.G001324	AEP_HVAEP2.G003836	DD
AEP_HVAEP9.G017585	AEP_HVAEP2.G003836	DD
AEP_HVAEP6.G010868	AEP_HVAEP2.G003836	DD
AEP_HVAEP1.G002375	AEP_HVAEP2.G003836	DD
AEP_HVAEP1.G001327	AEP_HVAEP7.G012972	DD
AEP_HVAEP1.G001328	AEP_HVAEP1.G001407	DD
AEP_HVAEP10.G018184	AEP_HVAEP9.G017415	DD
AEP_HVAEP1.G001329	AEP_HVAEP9.G017415	DD
AEP_HVAEP11.G020532	AEP_HVAEP9.G017415	DD
AEP_HVAEP3.G005342	AEP_HVAEP5.G009828	DD
AEP_HVAEP1.G001329	AEP_HVAEP5.G009828	DD
AEP_HVAEP7.G012943	AEP_HVAEP5.G009828	DD
AEP_HVAEP1.G001330	AEP_HVAEP5.G009828	DD
AEP_HVAEP12.G022598	AEP_HVAEP5.G009828	DD
AEP_HVAEP13.G024697	AEP_HVAEP5.G009828	DD
AEP_HVAEP1.G001329	AEP_HVAEP6.G011633	DD
AEP_HVAEP15.G028865	AEP_HVAEP6.G011633	DD
AEP_HVAEP12.G022203	AEP_HVAEP6.G011633	DD
AEP_HVAEP11.G020532	AEP_HVAEP11.G020800	DD
AEP_HVAEP10.G018184	AEP_HVAEP11.G020800	DD
AEP_HVAEP1.G001329	AEP_HVAEP11.G020800	DD
AEP_HVAEP9.G017415	AEP_HVAEP11.G020800	DD
AEP_HVAEP11.G019904	AEP_HVAEP8.G014407	DD
AEP_HVAEP12.G022203	AEP_HVAEP8.G014407	DD
AEP_HVAEP5.G009828	AEP_HVAEP8.G014407	DD
AEP_HVAEP1.G001330	AEP_HVAEP8.G014407	DD
AEP_HVAEP6.G011633	AEP_HVAEP8.G014407	DD
AEP_HVAEP2.G004010	AEP_HVAEP8.G014407	DD
AEP_HVAEP8.G014849	AEP_HVAEP8.G014407	DD
AEP_HVAEP4.G007924	AEP_HVAEP8.G014407	DD
AEP_HVAEP10.G018722	AEP_HVAEP8.G014407	DD
AEP_HVAEP3.G005342	AEP_HVAEP8.G014407	DD
AEP_HVAEP15.G028909	AEP_HVAEP8.G014407	DD
AEP_HVAEP11.G020531	AEP_HVAEP8.G014407	DD
AEP_HVAEP1.G001331	AEP_HVAEP8.G014407	DD
AEP_HVAEP12.G022598	AEP_HVAEP8.G014407	DD
AEP_HVAEP10.G018105	AEP_HVAEP8.G014407	DD
AEP_HVAEP3.G005341	AEP_HVAEP8.G014407	DD
AEP_HVAEP10.G018248	AEP_HVAEP8.G014407	DD
AEP_HVAEP14.G026273	AEP_HVAEP8.G014407	DD
AEP_HVAEP15.G028865	AEP_HVAEP8.G014407	DD
AEP_HVAEP13.G024698	AEP_HVAEP15.G028086	DD
AEP_HVAEP8.G014407	AEP_HVAEP15.G028086	DD
AEP_HVAEP11.G020531	AEP_HVAEP15.G028086	DD
AEP_HVAEP11.G019904	AEP_HVAEP15.G028086	DD
AEP_HVAEP1.G001330	AEP_HVAEP15.G028086	DD
AEP_HVAEP12.G022203	AEP_HVAEP15.G028086	DD
AEP_HVAEP4.G008861	AEP_HVAEP15.G028086	DD
AEP_HVAEP10.G018722	AEP_HVAEP15.G028086	DD
AEP_HVAEP5.G009828	AEP_HVAEP12.G023390	DD
AEP_HVAEP12.G023756	AEP_HVAEP12.G023390	DD
AEP_HVAEP4.G007359	AEP_HVAEP12.G023390	DD
AEP_HVAEP4.G007924	AEP_HVAEP12.G023390	DD
AEP_HVAEP1.G001330	AEP_HVAEP12.G023390	DD
AEP_HVAEP3.G005342	AEP_HVAEP12.G023390	DD
AEP_HVAEP7.G012600	AEP_HVAEP12.G023390	DD
AEP_HVAEP3.G005341	AEP_HVAEP10.G018105	DD
AEP_HVAEP1.G001331	AEP_HVAEP10.G018105	DD
AEP_HVAEP14.G026273	AEP_HVAEP10.G018105	DD
AEP_HVAEP15.G028865	AEP_HVAEP10.G018105	DD
AEP_HVAEP13.G024698	AEP_HVAEP10.G018105	DD
AEP_HVAEP2.G004010	AEP_HVAEP10.G018105	DD
AEP_HVAEP8.G014849	AEP_HVAEP10.G018105	DD
AEP_HVAEP2.G004010	AEP_HVAEP13.G024060	DD
AEP_HVAEP15.G028086	AEP_HVAEP13.G024060	DD
AEP_HVAEP6.G011633	AEP_HVAEP13.G024060	DD
AEP_HVAEP8.G014407	AEP_HVAEP13.G024060	DD
AEP_HVAEP9.G016946	AEP_HVAEP13.G024060	DD
AEP_HVAEP1.G001331	AEP_HVAEP13.G024060	DD
AEP_HVAEP10.G018105	AEP_HVAEP13.G024060	DD
AEP_HVAEP11.G020531	AEP_HVAEP13.G024060	DD
AEP_HVAEP13.G024697	AEP_HVAEP13.G024060	DD
AEP_HVAEP10.G018691	AEP_HVAEP13.G024060	DD
AEP_HVAEP12.G023756	AEP_HVAEP13.G024060	DD
AEP_HVAEP9.G015886	AEP_HVAEP9.G017512	DD
AEP_HVAEP8.G014178	AEP_HVAEP9.G017512	DD
AEP_HVAEP2.G003953	AEP_HVAEP9.G017512	DD
AEP_HVAEP2.G003954	AEP_HVAEP9.G017512	DD
AEP_HVAEP2.G004466	AEP_HVAEP9.G017512	DD
AEP_HVAEP9.G015885	AEP_HVAEP9.G017512	DD
AEP_HVAEP1.G001332	AEP_HVAEP9.G017512	DD
AEP_HVAEP1.G001332	AEP_HVAEP9.G015884	DD
AEP_HVAEP2.G003955	AEP_HVAEP9.G015884	DD
AEP_HVAEP6.G011772	AEP_HVAEP9.G015884	DD
AEP_HVAEP1.G001332	AEP_HVAEP2.G003955	DD
AEP_HVAEP12.G022335	AEP_HVAEP2.G003955	DD
AEP_HVAEP2.G004466	AEP_HVAEP2.G003954	DD
AEP_HVAEP2.G003866	AEP_HVAEP2.G003954	DD
AEP_HVAEP1.G001332	AEP_HVAEP2.G003954	DD
AEP_HVAEP1.G001333	AEP_HVAEP1.G001334	TD
AEP_HVAEP1.G001333	AEP_HVAEP1.G001335	PD
AEP_HVAEP1.G001334	AEP_HVAEP1.G001335	TD
AEP_HVAEP1.G001334	AEP_HVAEP12.G023058	DD
AEP_HVAEP1.G001335	AEP_HVAEP12.G023058	DD
AEP_HVAEP1.G001335	AEP_HVAEP1.G001879	DD
AEP_HVAEP1.G001336	AEP_HVAEP1.G002431	DD
AEP_HVAEP1.G001600	AEP_HVAEP1.G002431	DD
AEP_HVAEP1.G001337	AEP_HVAEP10.G018983	DD
AEP_HVAEP8.G014872	AEP_HVAEP10.G018983	DD
AEP_HVAEP11.G019590	AEP_HVAEP10.G018983	DD
AEP_HVAEP2.G002715	AEP_HVAEP10.G018983	DD
AEP_HVAEP11.G019824	AEP_HVAEP10.G018983	DD
AEP_HVAEP11.G019390	AEP_HVAEP10.G018983	DD
AEP_HVAEP11.G019712	AEP_HVAEP10.G018983	DD
AEP_HVAEP5.G009930	AEP_HVAEP10.G018983	DD
AEP_HVAEP1.G002462	AEP_HVAEP10.G018983	DD
AEP_HVAEP11.G019552	AEP_HVAEP10.G018983	DD
AEP_HVAEP2.G003707	AEP_HVAEP2.G002715	DD
AEP_HVAEP4.G007984	AEP_HVAEP2.G002715	DD
AEP_HVAEP11.G019552	AEP_HVAEP2.G002715	DD
AEP_HVAEP11.G019824	AEP_HVAEP2.G002715	DD
AEP_HVAEP1.G001337	AEP_HVAEP2.G002715	DD
AEP_HVAEP4.G007984	AEP_HVAEP8.G014872	DD
AEP_HVAEP1.G001337	AEP_HVAEP8.G014872	DD
AEP_HVAEP2.G002715	AEP_HVAEP8.G014872	DD
AEP_HVAEP1.G001478	AEP_HVAEP8.G014872	DD
AEP_HVAEP1.G002462	AEP_HVAEP8.G014872	DD
AEP_HVAEP5.G009930	AEP_HVAEP8.G014872	DD
AEP_HVAEP11.G019712	AEP_HVAEP8.G014872	DD
AEP_HVAEP7.G013162	AEP_HVAEP7.G012888	DD
AEP_HVAEP15.G027445	AEP_HVAEP7.G012888	DD
AEP_HVAEP1.G001342	AEP_HVAEP7.G012888	DD
AEP_HVAEP3.G006501	AEP_HVAEP7.G012888	DD
AEP_HVAEP3.G007035	AEP_HVAEP12.G022977	DD
AEP_HVAEP10.G017941	AEP_HVAEP12.G022977	DD
AEP_HVAEP2.G003018	AEP_HVAEP12.G022977	DD
AEP_HVAEP7.G012888	AEP_HVAEP12.G022977	DD
AEP_HVAEP10.G018665	AEP_HVAEP12.G022977	DD
AEP_HVAEP6.G011249	AEP_HVAEP12.G022977	DD
AEP_HVAEP1.G001342	AEP_HVAEP12.G022977	DD
AEP_HVAEP11.G019415	AEP_HVAEP12.G022977	DD
AEP_HVAEP6.G011925	AEP_HVAEP11.G019415	DD
AEP_HVAEP3.G006264	AEP_HVAEP11.G019415	DD
AEP_HVAEP14.G026757	AEP_HVAEP11.G019415	DD
AEP_HVAEP7.G012888	AEP_HVAEP11.G019415	DD
AEP_HVAEP1.G001342	AEP_HVAEP11.G019415	DD
AEP_HVAEP6.G012077	AEP_HVAEP11.G019415	DD
AEP_HVAEP3.G007035	AEP_HVAEP6.G011249	DD
AEP_HVAEP9.G016539	AEP_HVAEP6.G011249	DD
AEP_HVAEP10.G017941	AEP_HVAEP6.G011249	DD
AEP_HVAEP9.G017555	AEP_HVAEP6.G011249	DD
AEP_HVAEP3.G006501	AEP_HVAEP6.G011249	DD
AEP_HVAEP10.G018665	AEP_HVAEP6.G011249	DD
AEP_HVAEP6.G012291	AEP_HVAEP6.G011249	DD
AEP_HVAEP8.G015479	AEP_HVAEP6.G011249	DD
AEP_HVAEP3.G006264	AEP_HVAEP6.G011249	DD
AEP_HVAEP2.G004266	AEP_HVAEP6.G011249	DD
AEP_HVAEP1.G001342	AEP_HVAEP6.G011249	DD
AEP_HVAEP1.G001343	AEP_HVAEP3.G005893	DD
AEP_HVAEP13.G024792	AEP_HVAEP8.G013794	DD
AEP_HVAEP1.G001343	AEP_HVAEP8.G013794	DD
AEP_HVAEP6.G011203	AEP_HVAEP8.G013794	DD
AEP_HVAEP5.G009636	AEP_HVAEP8.G013794	DD
AEP_HVAEP1.G001343	AEP_HVAEP15.G028772	DD
AEP_HVAEP12.G022404	AEP_HVAEP15.G028772	DD
AEP_HVAEP1.G001344	AEP_HVAEP13.G025427	DD
AEP_HVAEP4.G008602	AEP_HVAEP13.G025427	DD
AEP_HVAEP1.G001345	AEP_HVAEP15.G028102	DD
AEP_HVAEP1.G001346	AEP_HVAEP15.G028102	DD
AEP_HVAEP10.G018820	AEP_HVAEP14.G026115	DD
AEP_HVAEP1.G001345	AEP_HVAEP14.G026115	DD
AEP_HVAEP14.G026124	AEP_HVAEP14.G026115	PD
AEP_HVAEP14.G026128	AEP_HVAEP14.G026115	DD
AEP_HVAEP10.G018767	AEP_HVAEP15.G028107	DD
AEP_HVAEP1.G001346	AEP_HVAEP15.G028107	DD
AEP_HVAEP15.G028102	AEP_HVAEP15.G028107	PD
AEP_HVAEP15.G027316	AEP_HVAEP15.G027318	PD
AEP_HVAEP2.G004440	AEP_HVAEP15.G027318	DD
AEP_HVAEP15.G027317	AEP_HVAEP15.G027318	TD
AEP_HVAEP7.G012491	AEP_HVAEP15.G027318	DD
AEP_HVAEP4.G008337	AEP_HVAEP15.G027318	DD
AEP_HVAEP5.G009797	AEP_HVAEP15.G027318	DD
AEP_HVAEP6.G011055	AEP_HVAEP15.G027318	DD
AEP_HVAEP7.G013451	AEP_HVAEP15.G027318	DD
AEP_HVAEP2.G004436	AEP_HVAEP15.G027318	DD
AEP_HVAEP1.G001349	AEP_HVAEP15.G027318	DD
AEP_HVAEP3.G005345	AEP_HVAEP15.G027318	DD
AEP_HVAEP4.G007595	AEP_HVAEP15.G027318	DD
AEP_HVAEP12.G023498	AEP_HVAEP15.G027318	DD
AEP_HVAEP4.G007598	AEP_HVAEP15.G027317	DD
AEP_HVAEP12.G023208	AEP_HVAEP15.G027317	DD
AEP_HVAEP1.G001349	AEP_HVAEP15.G027317	DD
AEP_HVAEP5.G009797	AEP_HVAEP15.G027317	DD
AEP_HVAEP12.G023498	AEP_HVAEP15.G027317	DD
AEP_HVAEP7.G012491	AEP_HVAEP15.G027317	DD
AEP_HVAEP15.G027316	AEP_HVAEP15.G027317	TD
AEP_HVAEP5.G009797	AEP_HVAEP15.G027316	DD
AEP_HVAEP4.G008004	AEP_HVAEP15.G027316	DD
AEP_HVAEP2.G004436	AEP_HVAEP15.G027316	DD
AEP_HVAEP1.G002078	AEP_HVAEP15.G027316	DD
AEP_HVAEP4.G007598	AEP_HVAEP15.G027316	DD
AEP_HVAEP1.G001349	AEP_HVAEP15.G027316	DD
AEP_HVAEP1.G002079	AEP_HVAEP15.G027316	DD
AEP_HVAEP15.G027704	AEP_HVAEP15.G027316	DD
AEP_HVAEP7.G012491	AEP_HVAEP15.G027316	DD
AEP_HVAEP12.G023498	AEP_HVAEP15.G027316	DD
AEP_HVAEP4.G007596	AEP_HVAEP15.G027316	DD
AEP_HVAEP2.G004440	AEP_HVAEP15.G027316	DD
AEP_HVAEP3.G005339	AEP_HVAEP5.G009797	DD
AEP_HVAEP6.G011055	AEP_HVAEP5.G009797	DD
AEP_HVAEP1.G001349	AEP_HVAEP5.G009797	DD
AEP_HVAEP1.G001350	AEP_HVAEP7.G013028	DD
AEP_HVAEP6.G010607	AEP_HVAEP7.G013028	DD
AEP_HVAEP1.G001350	AEP_HVAEP6.G010607	DD
AEP_HVAEP1.G001356	AEP_HVAEP1.G001358	PD
AEP_HVAEP1.G001357	AEP_HVAEP5.G009882	DD
AEP_HVAEP12.G021326	AEP_HVAEP5.G009882	DD
AEP_HVAEP3.G006973	AEP_HVAEP5.G009882	DD
AEP_HVAEP1.G001359	AEP_HVAEP3.G005102	DD
AEP_HVAEP8.G015038	AEP_HVAEP6.G011176	DD
AEP_HVAEP6.G010448	AEP_HVAEP6.G011176	DD
AEP_HVAEP1.G001360	AEP_HVAEP6.G011176	DD
AEP_HVAEP6.G010477	AEP_HVAEP12.G022629	DD
AEP_HVAEP6.G010448	AEP_HVAEP12.G022629	DD
AEP_HVAEP1.G001360	AEP_HVAEP12.G022629	DD
AEP_HVAEP8.G015038	AEP_HVAEP12.G022629	DD
AEP_HVAEP6.G011176	AEP_HVAEP12.G022629	DD
AEP_HVAEP10.G018017	AEP_HVAEP12.G022629	DD
AEP_HVAEP1.G001360	AEP_HVAEP6.G010448	DD
AEP_HVAEP8.G015038	AEP_HVAEP6.G010448	DD
AEP_HVAEP8.G015381	AEP_HVAEP6.G011177	DD
AEP_HVAEP8.G015099	AEP_HVAEP6.G011177	DD
AEP_HVAEP1.G001360	AEP_HVAEP6.G011177	DD
AEP_HVAEP6.G010478	AEP_HVAEP6.G011177	DD
AEP_HVAEP12.G023711	AEP_HVAEP10.G019328	DD
AEP_HVAEP1.G001361	AEP_HVAEP10.G019328	DD
AEP_HVAEP3.G005493	AEP_HVAEP10.G019328	DD
AEP_HVAEP14.G026327	AEP_HVAEP10.G019328	DD
AEP_HVAEP8.G015048	AEP_HVAEP10.G019328	DD
AEP_HVAEP1.G001361	AEP_HVAEP3.G006708	DD
AEP_HVAEP9.G015774	AEP_HVAEP3.G006708	DD
AEP_HVAEP10.G019328	AEP_HVAEP3.G006708	DD
AEP_HVAEP3.G005493	AEP_HVAEP3.G006708	DD
AEP_HVAEP8.G015048	AEP_HVAEP3.G006708	DD
AEP_HVAEP3.G006259	AEP_HVAEP3.G006708	DD
AEP_HVAEP3.G006186	AEP_HVAEP3.G006708	DD
AEP_HVAEP14.G026327	AEP_HVAEP3.G006708	DD
AEP_HVAEP11.G020852	AEP_HVAEP3.G006708	DD
AEP_HVAEP1.G001361	AEP_HVAEP8.G015048	DD
AEP_HVAEP3.G006259	AEP_HVAEP8.G015048	DD
AEP_HVAEP3.G005493	AEP_HVAEP8.G015048	DD
AEP_HVAEP6.G011917	AEP_HVAEP8.G015048	DD
AEP_HVAEP1.G001361	AEP_HVAEP3.G005493	DD
AEP_HVAEP12.G023711	AEP_HVAEP3.G005493	DD
AEP_HVAEP14.G026327	AEP_HVAEP3.G005493	DD
AEP_HVAEP2.G002668	AEP_HVAEP4.G007600	DD
AEP_HVAEP14.G026774	AEP_HVAEP4.G007600	DD
AEP_HVAEP1.G001362	AEP_HVAEP4.G007600	DD
AEP_HVAEP1.G001362	AEP_HVAEP14.G026430	DD
AEP_HVAEP2.G002668	AEP_HVAEP14.G026430	DD
AEP_HVAEP4.G007600	AEP_HVAEP14.G026430	DD
AEP_HVAEP14.G026774	AEP_HVAEP14.G026430	DD
AEP_HVAEP1.G001362	AEP_HVAEP4.G008341	DD
AEP_HVAEP3.G005707	AEP_HVAEP8.G014774	DD
AEP_HVAEP1.G001364	AEP_HVAEP8.G014774	DD
AEP_HVAEP8.G013863	AEP_HVAEP8.G014774	DD
AEP_HVAEP10.G018149	AEP_HVAEP8.G014774	DD
AEP_HVAEP8.G013863	AEP_HVAEP11.G020839	DD
AEP_HVAEP13.G024932	AEP_HVAEP11.G020839	DD
AEP_HVAEP6.G010492	AEP_HVAEP11.G020839	DD
AEP_HVAEP1.G001364	AEP_HVAEP11.G020839	DD
AEP_HVAEP1.G001511	AEP_HVAEP11.G020839	DD
AEP_HVAEP8.G014408	AEP_HVAEP11.G020839	DD
AEP_HVAEP5.G009532	AEP_HVAEP11.G020839	DD
AEP_HVAEP6.G010491	AEP_HVAEP11.G020839	DD
AEP_HVAEP1.G001364	AEP_HVAEP1.G001511	DD
AEP_HVAEP8.G013863	AEP_HVAEP1.G001511	DD
AEP_HVAEP8.G014409	AEP_HVAEP1.G001511	DD
AEP_HVAEP6.G010492	AEP_HVAEP1.G001511	DD
AEP_HVAEP13.G024932	AEP_HVAEP1.G001511	DD
AEP_HVAEP8.G014408	AEP_HVAEP1.G001511	DD
AEP_HVAEP8.G014774	AEP_HVAEP1.G001511	DD
AEP_HVAEP4.G008902	AEP_HVAEP1.G001511	DD
AEP_HVAEP11.G020357	AEP_HVAEP1.G001511	DD
AEP_HVAEP6.G010491	AEP_HVAEP1.G001511	DD
AEP_HVAEP3.G005707	AEP_HVAEP1.G001511	DD
AEP_HVAEP1.G001364	AEP_HVAEP3.G005707	DD
AEP_HVAEP15.G027552	AEP_HVAEP1.G001705	DD
AEP_HVAEP10.G018375	AEP_HVAEP1.G001705	DD
AEP_HVAEP1.G001365	AEP_HVAEP1.G001705	DD
AEP_HVAEP1.G001465	AEP_HVAEP1.G001705	DD
AEP_HVAEP15.G028857	AEP_HVAEP1.G001705	DD
AEP_HVAEP14.G026307	AEP_HVAEP1.G001705	DD
AEP_HVAEP4.G008651	AEP_HVAEP1.G001705	DD
AEP_HVAEP14.G026949	AEP_HVAEP1.G001705	DD
AEP_HVAEP3.G007142	AEP_HVAEP1.G001705	DD
AEP_HVAEP12.G021672	AEP_HVAEP1.G001705	DD
AEP_HVAEP10.G018397	AEP_HVAEP1.G001705	DD
AEP_HVAEP9.G017231	AEP_HVAEP1.G001705	DD
AEP_HVAEP12.G022482	AEP_HVAEP9.G016447	DD
AEP_HVAEP10.G018375	AEP_HVAEP9.G016447	DD
AEP_HVAEP10.G018529	AEP_HVAEP9.G016447	DD
